valid,train,ood
0.5,0.495,0.5
0.5,0.635,0.5
0.62,0.66,0.5
0.66,0.67,0.58
0.7,0.72,0.55
0.72,0.66,0.58
0.6,0.73,0.585
0.66,0.72,0.575
0.64,0.73,0.6
0.64,0.74,0.555
0.64,0.74,0.615
0.68,0.705,0.565
0.72,0.735,0.595
0.74,0.75,0.635
0.7,0.755,0.575
0.74,0.775,0.65
0.72,0.74,0.65
0.68,0.81,0.66
0.74,0.79,0.65
0.68,0.84,0.655
0.74,0.83,0.55
0.74,0.845,0.56
0.68,0.835,0.55
0.54,0.86,0.54
0.66,0.875,0.54
0.7,0.855,0.545
0.64,0.905,0.525
0.6,0.895,0.525
0.64,0.905,0.54
0.66,0.885,0.53
0.7,0.94,0.545
0.66,0.925,0.535
0.7,0.915,0.555
0.7,0.91,0.525
0.68,0.905,0.57
0.58,0.945,0.55
0.68,0.955,0.535
0.64,0.955,0.54
0.66,0.96,0.565
0.72,0.915,0.54
0.68,0.965,0.545
0.74,0.965,0.545
0.64,0.965,0.56
0.7,0.965,0.6
0.7,0.975,0.575
0.72,0.99,0.575
0.74,0.97,0.59
0.76,0.985,0.585
0.66,0.99,0.56
0.7,0.98,0.61
0.68,0.995,0.58
