valid,train,ood
0.46,0.514,0.5
0.656,0.646,0.528
0.616,0.653,0.564
0.684,0.72,0.604
0.648,0.754,0.544
0.68,0.748,0.532
0.652,0.751,0.528
0.688,0.767,0.544
0.656,0.781,0.536
0.672,0.793,0.544
0.7,0.79,0.52
0.728,0.824,0.564
0.756,0.825,0.56
0.696,0.829,0.584
0.764,0.868,0.552
0.708,0.843,0.528
0.76,0.867,0.588
0.712,0.898,0.556
0.748,0.902,0.588
0.748,0.902,0.58
0.76,0.912,0.592
0.76,0.919,0.528
0.728,0.927,0.54
0.752,0.936,0.548
0.776,0.933,0.556
0.78,0.941,0.552
0.776,0.938,0.536
0.78,0.941,0.496
0.784,0.948,0.576
0.78,0.951,0.5
0.768,0.954,0.516
0.74,0.959,0.548
0.796,0.961,0.536
0.796,0.955,0.576
0.768,0.976,0.508
0.772,0.964,0.536
0.796,0.964,0.524
0.812,0.979,0.572
0.816,0.978,0.532
0.804,0.98,0.54
0.8,0.978,0.548
0.808,0.98,0.544
0.792,0.984,0.508
0.816,0.986,0.516
0.808,0.982,0.532
0.772,0.992,0.576
0.8,0.994,0.548
0.796,0.989,0.556
0.824,0.993,0.572
0.784,0.991,0.556
0.804,0.996,0.532
