valid,train,ood
0.5,0.5,0.5
0.69,0.715,0.57
0.63,0.735,0.57
0.67,0.68,0.56
0.68,0.78,0.84
0.64,0.75,0.77
0.67,0.77,0.76
0.67,0.79,0.77
0.67,0.77,0.77
0.73,0.785,0.68
0.67,0.785,0.79
0.76,0.785,0.73
0.73,0.81,0.7
0.74,0.775,0.81
0.7,0.79,0.73
0.72,0.78,0.83
0.72,0.785,0.85
0.66,0.805,0.86
0.72,0.79,0.85
0.7,0.8,0.84
0.71,0.805,0.88
0.75,0.83,0.84
0.7,0.815,0.85
0.71,0.825,0.87
0.72,0.81,0.78
0.75,0.815,0.88
0.67,0.79,0.82
0.71,0.81,0.91
0.69,0.785,0.84
0.71,0.835,0.86
0.71,0.83,0.86
0.71,0.84,0.9
0.72,0.855,0.84
0.66,0.81,0.87
0.74,0.875,0.89
0.7,0.875,0.89
0.72,0.855,0.85
0.73,0.865,0.81
0.75,0.89,0.85
0.68,0.86,0.84
0.72,0.895,0.88
0.66,0.9,0.88
0.74,0.86,0.86
0.75,0.89,0.92
0.72,0.89,0.86
0.7,0.875,0.87
0.73,0.905,0.86
0.74,0.885,0.86
0.71,0.89,0.92
0.69,0.885,0.91
0.72,0.905,0.92
