valid,train,ood
0.66,0.675,0.5
0.86,0.861,0.51
0.91,0.877,0.56
0.92,0.881,0.59
0.97,0.905,0.53
0.98,0.907,0.61
0.96,0.912,0.74
0.96,0.935,0.77
0.94,0.932,0.77
0.96,0.937,0.72
0.96,0.935,0.71
0.96,0.94,0.72
0.95,0.941,0.74
0.96,0.946,0.76
0.93,0.945,0.7
0.95,0.95,0.75
0.94,0.954,0.74
0.92,0.959,0.72
0.97,0.953,0.66
0.93,0.955,0.64
0.92,0.957,0.64
0.94,0.967,0.6
0.95,0.962,0.6
0.92,0.967,0.57
0.97,0.976,0.57
0.95,0.979,0.52
0.96,0.985,0.55
0.91,0.976,0.53
0.92,0.987,0.51
0.93,0.982,0.55
0.95,0.99,0.52
0.89,0.983,0.53
0.93,0.992,0.51
0.97,0.997,0.52
0.94,0.993,0.52
0.93,0.995,0.52
0.93,0.996,0.51
0.91,0.999,0.52
0.91,0.999,0.51
0.94,0.998,0.53
0.93,0.999,0.54
0.92,1.0,0.52
0.91,1.0,0.52
0.93,0.997,0.52
0.9,0.995,0.52
0.95,1.0,0.53
0.92,1.0,0.5
0.94,1.0,0.52
0.92,1.0,0.52
0.89,1.0,0.51
0.93,0.995,0.51
