train,valid,ood
5.000000000000000000e+01,5.000000000000000000e+01,5.000000000000000000e+01
5.510000000000000142e+01,5.699999999999999289e+01,5.000000000000000000e+01
8.159999999999999432e+01,7.700000000000000000e+01,5.000000000000000000e+01
8.100000000000000000e+01,7.800000000000000000e+01,5.000000000000000000e+01
8.439999999999999147e+01,8.400000000000000000e+01,5.000000000000000000e+01
8.529999999999999716e+01,7.700000000000000000e+01,5.000000000000000000e+01
8.550000000000000000e+01,8.300000000000000000e+01,5.000000000000000000e+01
8.279999999999999716e+01,7.900000000000000000e+01,5.000000000000000000e+01
8.620000000000000284e+01,8.600000000000000000e+01,5.000000000000000000e+01
8.590000000000000568e+01,8.200000000000000000e+01,5.000000000000000000e+01
8.809999999999999432e+01,8.200000000000000000e+01,5.000000000000000000e+01
8.030000000000001137e+01,7.300000000000000000e+01,5.000000000000000000e+01
8.409999999999999432e+01,8.200000000000000000e+01,5.000000000000000000e+01
8.489999999999999147e+01,8.500000000000000000e+01,5.000000000000000000e+01
8.409999999999999432e+01,8.600000000000000000e+01,5.000000000000000000e+01
8.950000000000000000e+01,8.900000000000000000e+01,5.100000000000000000e+01
8.960000000000000853e+01,9.000000000000000000e+01,5.100000000000000000e+01
8.529999999999999716e+01,8.100000000000000000e+01,5.100000000000000000e+01
8.779999999999999716e+01,8.800000000000000000e+01,5.000000000000000000e+01
8.850000000000000000e+01,8.300000000000000000e+01,5.100000000000000000e+01
8.759999999999999432e+01,8.800000000000000000e+01,5.100000000000000000e+01
8.850000000000000000e+01,8.200000000000000000e+01,5.100000000000000000e+01
8.740000000000000568e+01,8.000000000000000000e+01,5.100000000000000000e+01
8.720000000000000284e+01,8.300000000000000000e+01,5.100000000000000000e+01
8.870000000000000284e+01,8.700000000000000000e+01,5.100000000000000000e+01
8.920000000000000284e+01,8.700000000000000000e+01,5.000000000000000000e+01
8.960000000000000853e+01,8.400000000000000000e+01,5.100000000000000000e+01
8.900000000000000000e+01,8.200000000000000000e+01,5.100000000000000000e+01
8.659999999999999432e+01,8.600000000000000000e+01,5.100000000000000000e+01
8.640000000000000568e+01,7.900000000000000000e+01,5.100000000000000000e+01
8.729999999999999716e+01,8.800000000000000000e+01,5.100000000000000000e+01
8.909999999999999432e+01,8.300000000000000000e+01,5.100000000000000000e+01
8.779999999999999716e+01,8.100000000000000000e+01,5.100000000000000000e+01
8.950000000000000000e+01,8.200000000000000000e+01,5.100000000000000000e+01
9.020000000000000284e+01,9.000000000000000000e+01,5.100000000000000000e+01
8.890000000000000568e+01,8.600000000000000000e+01,5.100000000000000000e+01
9.029999999999999716e+01,8.900000000000000000e+01,5.100000000000000000e+01
9.040000000000000568e+01,8.000000000000000000e+01,5.000000000000000000e+01
8.579999999999999716e+01,8.000000000000000000e+01,5.100000000000000000e+01
8.659999999999999432e+01,8.300000000000000000e+01,5.100000000000000000e+01
8.809999999999999432e+01,8.200000000000000000e+01,5.100000000000000000e+01
8.859999999999999432e+01,8.400000000000000000e+01,5.100000000000000000e+01
8.920000000000000284e+01,8.300000000000000000e+01,5.100000000000000000e+01
8.859999999999999432e+01,8.200000000000000000e+01,5.100000000000000000e+01
8.940000000000000568e+01,8.100000000000000000e+01,5.100000000000000000e+01
8.409999999999999432e+01,7.800000000000000000e+01,5.100000000000000000e+01
8.890000000000000568e+01,8.600000000000000000e+01,5.100000000000000000e+01
8.920000000000000284e+01,8.100000000000000000e+01,5.100000000000000000e+01
8.840000000000000568e+01,8.200000000000000000e+01,5.000000000000000000e+01
8.859999999999999432e+01,8.800000000000000000e+01,5.100000000000000000e+01
8.979999999999999716e+01,8.300000000000000000e+01,5.000000000000000000e+01
8.900000000000000000e+01,8.800000000000000000e+01,5.000000000000000000e+01
8.909999999999999432e+01,8.700000000000000000e+01,5.100000000000000000e+01
8.659999999999999432e+01,8.300000000000000000e+01,5.100000000000000000e+01
8.920000000000000284e+01,8.100000000000000000e+01,5.000000000000000000e+01
8.990000000000000568e+01,8.300000000000000000e+01,5.100000000000000000e+01
9.010000000000000853e+01,8.600000000000000000e+01,5.000000000000000000e+01
8.900000000000000000e+01,8.100000000000000000e+01,5.100000000000000000e+01
9.010000000000000853e+01,8.000000000000000000e+01,5.100000000000000000e+01
9.250000000000000000e+01,8.300000000000000000e+01,5.100000000000000000e+01
9.110000000000000853e+01,8.600000000000000000e+01,5.000000000000000000e+01
8.900000000000000000e+01,8.500000000000000000e+01,5.000000000000000000e+01
8.809999999999999432e+01,8.600000000000000000e+01,5.000000000000000000e+01
9.129999999999999716e+01,8.500000000000000000e+01,5.000000000000000000e+01
8.890000000000000568e+01,8.300000000000000000e+01,5.100000000000000000e+01
8.990000000000000568e+01,8.100000000000000000e+01,5.100000000000000000e+01
9.100000000000000000e+01,8.100000000000000000e+01,5.000000000000000000e+01
8.729999999999999716e+01,8.400000000000000000e+01,5.000000000000000000e+01
9.060000000000000853e+01,8.200000000000000000e+01,5.000000000000000000e+01
9.160000000000000853e+01,8.800000000000000000e+01,5.100000000000000000e+01
8.400000000000000000e+01,7.600000000000000000e+01,5.100000000000000000e+01
9.170000000000000284e+01,9.100000000000000000e+01,5.000000000000000000e+01
9.120000000000000284e+01,8.500000000000000000e+01,5.100000000000000000e+01
8.720000000000000284e+01,8.000000000000000000e+01,5.000000000000000000e+01
9.060000000000000853e+01,9.400000000000000000e+01,5.100000000000000000e+01
9.150000000000000000e+01,8.600000000000000000e+01,5.100000000000000000e+01
9.220000000000000284e+01,8.400000000000000000e+01,5.100000000000000000e+01
9.020000000000000284e+01,8.500000000000000000e+01,5.100000000000000000e+01
