train,valid,ood
6.009999999999999432e+01,5.480000000000000426e+01,5.240000000000000568e+01
7.929999999999999716e+01,7.200000000000000000e+01,5.000000000000000000e+01
7.840000000000000568e+01,7.479999999999999716e+01,6.679999999999999716e+01
7.960000000000000853e+01,7.440000000000000568e+01,7.039999999999999147e+01
8.459999999999999432e+01,7.520000000000000284e+01,5.480000000000000426e+01
8.200000000000000000e+01,7.559999999999999432e+01,5.480000000000000426e+01
8.219999999999998863e+01,7.479999999999999716e+01,6.840000000000000568e+01
8.219999999999998863e+01,7.120000000000000284e+01,4.920000000000000284e+01
8.439999999999999147e+01,7.640000000000000568e+01,6.879999999999999716e+01
8.629999999999999716e+01,7.559999999999999432e+01,5.919999999999999574e+01
8.679999999999999716e+01,7.800000000000000000e+01,6.520000000000000284e+01
8.169999999999998863e+01,7.520000000000000284e+01,7.239999999999999147e+01
8.459999999999999432e+01,7.600000000000000000e+01,6.119999999999999574e+01
8.509999999999999432e+01,7.239999999999999147e+01,6.119999999999999574e+01
8.779999999999999716e+01,7.840000000000000568e+01,6.160000000000000142e+01
8.629999999999999716e+01,7.640000000000000568e+01,7.120000000000000284e+01
8.489999999999999147e+01,7.079999999999999716e+01,4.839999999999999858e+01
8.670000000000000284e+01,7.840000000000000568e+01,6.239999999999999858e+01
8.060000000000000853e+01,6.840000000000000568e+01,5.480000000000000426e+01
8.759999999999999432e+01,7.239999999999999147e+01,6.800000000000000000e+01
9.010000000000000853e+01,7.559999999999999432e+01,6.400000000000000000e+01
9.120000000000000284e+01,7.920000000000000284e+01,6.479999999999999716e+01
8.809999999999999432e+01,7.520000000000000284e+01,6.520000000000000284e+01
8.879999999999999716e+01,7.479999999999999716e+01,5.320000000000000284e+01
8.950000000000000000e+01,7.559999999999999432e+01,6.479999999999999716e+01
9.029999999999999716e+01,7.840000000000000568e+01,6.239999999999999858e+01
8.720000000000000284e+01,7.400000000000000000e+01,5.679999999999999716e+01
9.120000000000000284e+01,7.600000000000000000e+01,6.079999999999999716e+01
8.900000000000000000e+01,7.359999999999999432e+01,6.800000000000000000e+01
8.940000000000000568e+01,7.840000000000000568e+01,5.919999999999999574e+01
8.900000000000000000e+01,7.679999999999999716e+01,6.479999999999999716e+01
9.010000000000000853e+01,7.760000000000000853e+01,7.039999999999999147e+01
9.020000000000000284e+01,7.720000000000000284e+01,6.520000000000000284e+01
9.150000000000000000e+01,7.879999999999999716e+01,6.000000000000000000e+01
8.970000000000000284e+01,7.879999999999999716e+01,6.560000000000000853e+01
9.129999999999999716e+01,7.520000000000000284e+01,5.759999999999999432e+01
9.079999999999999716e+01,7.879999999999999716e+01,6.079999999999999716e+01
9.029999999999999716e+01,7.879999999999999716e+01,6.200000000000000000e+01
9.210000000000000853e+01,7.559999999999999432e+01,6.720000000000000284e+01
8.970000000000000284e+01,7.440000000000000568e+01,6.720000000000000284e+01
9.090000000000000568e+01,7.559999999999999432e+01,5.400000000000000000e+01
9.120000000000000284e+01,7.559999999999999432e+01,6.720000000000000284e+01
9.140000000000000568e+01,7.600000000000000000e+01,6.400000000000000000e+01
9.210000000000000853e+01,7.720000000000000284e+01,5.639999999999999147e+01
9.120000000000000284e+01,7.559999999999999432e+01,5.600000000000000711e+01
9.190000000000000568e+01,7.400000000000000000e+01,6.039999999999999858e+01
8.820000000000000284e+01,7.400000000000000000e+01,5.200000000000000000e+01
9.090000000000000568e+01,7.479999999999999716e+01,6.840000000000000568e+01
9.270000000000000284e+01,7.239999999999999147e+01,6.560000000000000853e+01
9.070000000000000284e+01,7.600000000000000000e+01,6.239999999999999858e+01
9.270000000000000284e+01,7.600000000000000000e+01,6.000000000000000000e+01
9.200000000000000000e+01,7.640000000000000568e+01,6.959999999999999432e+01
9.090000000000000568e+01,7.640000000000000568e+01,5.280000000000000426e+01
9.120000000000000284e+01,7.760000000000000853e+01,7.039999999999999147e+01
9.270000000000000284e+01,7.479999999999999716e+01,6.119999999999999574e+01
9.160000000000000853e+01,7.720000000000000284e+01,6.959999999999999432e+01
9.330000000000001137e+01,7.760000000000000853e+01,6.320000000000000284e+01
9.170000000000000284e+01,7.720000000000000284e+01,6.200000000000000000e+01
9.220000000000000284e+01,7.840000000000000568e+01,6.679999999999999716e+01
9.190000000000000568e+01,7.440000000000000568e+01,6.400000000000000000e+01
9.270000000000000284e+01,8.120000000000000284e+01,6.679999999999999716e+01
9.370000000000000284e+01,7.760000000000000853e+01,6.200000000000000000e+01
9.389999999999999147e+01,7.559999999999999432e+01,6.200000000000000000e+01
9.290000000000000568e+01,7.640000000000000568e+01,6.000000000000000000e+01
9.110000000000000853e+01,7.640000000000000568e+01,6.160000000000000142e+01
9.260000000000000853e+01,7.559999999999999432e+01,5.839999999999999858e+01
9.210000000000000853e+01,7.200000000000000000e+01,6.320000000000000284e+01
9.210000000000000853e+01,7.200000000000000000e+01,5.959999999999999432e+01
9.250000000000000000e+01,7.120000000000000284e+01,6.640000000000000568e+01
9.250000000000000000e+01,7.120000000000000284e+01,5.639999999999999147e+01
9.220000000000000284e+01,7.760000000000000853e+01,5.839999999999999858e+01
9.340000000000000568e+01,7.760000000000000853e+01,6.079999999999999716e+01
9.220000000000000284e+01,7.640000000000000568e+01,6.160000000000000142e+01
9.379999999999999716e+01,7.239999999999999147e+01,6.279999999999999716e+01
9.320000000000000284e+01,7.800000000000000000e+01,6.119999999999999574e+01
9.090000000000000568e+01,7.559999999999999432e+01,7.000000000000000000e+01
9.370000000000000284e+01,7.600000000000000000e+01,5.679999999999999716e+01
9.280000000000001137e+01,7.720000000000000284e+01,6.919999999999998863e+01
9.400000000000000000e+01,7.760000000000000853e+01,6.239999999999999858e+01
9.379999999999999716e+01,7.600000000000000000e+01,6.840000000000000568e+01
9.290000000000000568e+01,7.479999999999999716e+01,6.200000000000000000e+01
9.409999999999999432e+01,7.800000000000000000e+01,7.279999999999999716e+01
9.360000000000000853e+01,7.679999999999999716e+01,7.079999999999999716e+01
9.140000000000000568e+01,7.600000000000000000e+01,6.600000000000000000e+01
9.280000000000001137e+01,7.760000000000000853e+01,5.480000000000000426e+01
9.340000000000000568e+01,7.720000000000000284e+01,6.520000000000000284e+01
9.000000000000000000e+01,7.520000000000000284e+01,5.719999999999999574e+01
9.230000000000001137e+01,7.760000000000000853e+01,7.159999999999999432e+01
9.419999999999998863e+01,7.400000000000000000e+01,6.600000000000000000e+01
9.419999999999998863e+01,7.840000000000000568e+01,6.039999999999999858e+01
9.300000000000000000e+01,7.320000000000000284e+01,5.320000000000000284e+01
9.459999999999999432e+01,7.800000000000000000e+01,6.800000000000000000e+01
9.300000000000000000e+01,7.879999999999999716e+01,7.079999999999999716e+01
9.379999999999999716e+01,7.840000000000000568e+01,6.039999999999999858e+01
9.389999999999999147e+01,7.840000000000000568e+01,5.520000000000000284e+01
9.220000000000000284e+01,7.720000000000000284e+01,6.840000000000000568e+01
9.379999999999999716e+01,7.600000000000000000e+01,6.720000000000000284e+01
9.400000000000000000e+01,7.239999999999999147e+01,6.440000000000000568e+01
9.500000000000000000e+01,7.840000000000000568e+01,6.919999999999998863e+01
9.310000000000000853e+01,7.400000000000000000e+01,6.520000000000000284e+01
9.459999999999999432e+01,7.600000000000000000e+01,6.560000000000000853e+01
9.589999999999999147e+01,7.679999999999999716e+01,6.760000000000000853e+01
9.439999999999999147e+01,7.400000000000000000e+01,5.839999999999999858e+01
9.370000000000000284e+01,7.720000000000000284e+01,6.679999999999999716e+01
9.429999999999999716e+01,7.520000000000000284e+01,5.879999999999999716e+01
9.310000000000000853e+01,7.479999999999999716e+01,5.560000000000000853e+01
9.270000000000000284e+01,7.879999999999999716e+01,5.919999999999999574e+01
