train,valid,ood
6.100000000000000000e+01,6.400000000000000000e+01,6.200000000000000000e+01
7.700000000000000000e+01,7.800000000000000000e+01,6.400000000000000000e+01
8.200000000000000000e+01,8.400000000000000000e+01,7.200000000000000000e+01
8.300000000000000000e+01,8.400000000000000000e+01,7.400000000000000000e+01
8.350000000000000000e+01,8.400000000000000000e+01,7.200000000000000000e+01
8.400000000000000000e+01,8.000000000000000000e+01,7.200000000000000000e+01
8.400000000000000000e+01,8.000000000000000000e+01,7.400000000000000000e+01
8.250000000000000000e+01,8.400000000000000000e+01,7.000000000000000000e+01
8.350000000000000000e+01,8.200000000000000000e+01,6.600000000000000000e+01
8.650000000000000000e+01,8.600000000000000000e+01,6.800000000000000000e+01
8.850000000000000000e+01,8.200000000000000000e+01,7.600000000000000000e+01
8.400000000000000000e+01,8.400000000000000000e+01,7.200000000000000000e+01
8.650000000000000000e+01,8.800000000000000000e+01,7.000000000000000000e+01
8.550000000000000000e+01,8.400000000000000000e+01,7.200000000000000000e+01
8.650000000000000000e+01,9.000000000000000000e+01,7.600000000000000000e+01
8.500000000000000000e+01,8.600000000000000000e+01,7.400000000000000000e+01
8.750000000000000000e+01,8.200000000000000000e+01,7.400000000000000000e+01
9.150000000000000000e+01,8.400000000000000000e+01,7.400000000000000000e+01
8.450000000000000000e+01,8.600000000000000000e+01,7.400000000000000000e+01
9.000000000000000000e+01,7.800000000000000000e+01,7.000000000000000000e+01
8.950000000000000000e+01,8.800000000000000000e+01,6.800000000000000000e+01
9.000000000000000000e+01,9.000000000000000000e+01,6.600000000000000000e+01
8.950000000000000000e+01,8.600000000000000000e+01,6.600000000000000000e+01
9.100000000000000000e+01,8.200000000000000000e+01,6.200000000000000000e+01
8.900000000000000000e+01,8.000000000000000000e+01,7.200000000000000000e+01
9.100000000000000000e+01,7.600000000000000000e+01,6.400000000000000000e+01
9.250000000000000000e+01,8.000000000000000000e+01,6.400000000000000000e+01
9.100000000000000000e+01,7.600000000000000000e+01,7.800000000000000000e+01
9.400000000000000000e+01,8.400000000000000000e+01,7.000000000000000000e+01
9.000000000000000000e+01,8.000000000000000000e+01,7.000000000000000000e+01
9.350000000000000000e+01,8.200000000000000000e+01,7.000000000000000000e+01
9.450000000000000000e+01,9.000000000000000000e+01,7.000000000000000000e+01
8.850000000000000000e+01,8.600000000000000000e+01,6.000000000000000000e+01
8.750000000000000000e+01,8.000000000000000000e+01,7.600000000000000000e+01
9.150000000000000000e+01,8.400000000000000000e+01,7.400000000000000000e+01
9.150000000000000000e+01,8.200000000000000000e+01,6.800000000000000000e+01
9.150000000000000000e+01,8.200000000000000000e+01,7.000000000000000000e+01
9.450000000000000000e+01,8.800000000000000000e+01,7.200000000000000000e+01
9.100000000000000000e+01,8.400000000000000000e+01,6.400000000000000000e+01
9.050000000000000000e+01,8.000000000000000000e+01,6.600000000000000000e+01
8.950000000000000000e+01,7.400000000000000000e+01,7.000000000000000000e+01
9.250000000000000000e+01,8.400000000000000000e+01,6.800000000000000000e+01
9.250000000000000000e+01,8.400000000000000000e+01,7.800000000000000000e+01
9.150000000000000000e+01,7.600000000000000000e+01,7.200000000000000000e+01
8.950000000000000000e+01,8.000000000000000000e+01,7.800000000000000000e+01
9.450000000000000000e+01,8.600000000000000000e+01,7.200000000000000000e+01
9.350000000000000000e+01,7.800000000000000000e+01,7.000000000000000000e+01
9.250000000000000000e+01,9.000000000000000000e+01,7.400000000000000000e+01
9.300000000000000000e+01,8.800000000000000000e+01,7.800000000000000000e+01
9.300000000000000000e+01,8.800000000000000000e+01,7.400000000000000000e+01
9.350000000000000000e+01,7.600000000000000000e+01,6.800000000000000000e+01
9.400000000000000000e+01,9.000000000000000000e+01,7.200000000000000000e+01
9.500000000000000000e+01,8.000000000000000000e+01,7.000000000000000000e+01
9.350000000000000000e+01,8.400000000000000000e+01,6.800000000000000000e+01
9.250000000000000000e+01,8.400000000000000000e+01,7.600000000000000000e+01
9.350000000000000000e+01,8.600000000000000000e+01,7.400000000000000000e+01
9.250000000000000000e+01,8.800000000000000000e+01,7.600000000000000000e+01
9.350000000000000000e+01,8.000000000000000000e+01,7.000000000000000000e+01
9.350000000000000000e+01,8.200000000000000000e+01,7.800000000000000000e+01
9.250000000000000000e+01,8.400000000000000000e+01,7.400000000000000000e+01
9.000000000000000000e+01,8.600000000000000000e+01,6.400000000000000000e+01
9.450000000000000000e+01,8.200000000000000000e+01,7.000000000000000000e+01
9.150000000000000000e+01,8.200000000000000000e+01,6.800000000000000000e+01
9.000000000000000000e+01,7.800000000000000000e+01,7.000000000000000000e+01
9.150000000000000000e+01,7.400000000000000000e+01,6.600000000000000000e+01
9.400000000000000000e+01,8.400000000000000000e+01,6.600000000000000000e+01
9.450000000000000000e+01,8.000000000000000000e+01,6.600000000000000000e+01
9.700000000000000000e+01,8.400000000000000000e+01,6.600000000000000000e+01
9.600000000000000000e+01,8.000000000000000000e+01,7.200000000000000000e+01
9.550000000000000000e+01,7.600000000000000000e+01,6.800000000000000000e+01
9.350000000000000000e+01,7.800000000000000000e+01,6.400000000000000000e+01
9.400000000000000000e+01,8.200000000000000000e+01,6.400000000000000000e+01
9.050000000000000000e+01,7.400000000000000000e+01,7.600000000000000000e+01
9.300000000000000000e+01,8.000000000000000000e+01,6.200000000000000000e+01
9.600000000000000000e+01,8.000000000000000000e+01,7.000000000000000000e+01
9.450000000000000000e+01,8.600000000000000000e+01,6.800000000000000000e+01
9.700000000000000000e+01,8.200000000000000000e+01,6.600000000000000000e+01
9.450000000000000000e+01,8.000000000000000000e+01,6.800000000000000000e+01
9.450000000000000000e+01,8.400000000000000000e+01,7.200000000000000000e+01
9.350000000000000000e+01,7.000000000000000000e+01,7.200000000000000000e+01
9.350000000000000000e+01,8.200000000000000000e+01,6.600000000000000000e+01
9.800000000000000000e+01,7.800000000000000000e+01,6.600000000000000000e+01
9.300000000000000000e+01,8.600000000000000000e+01,7.400000000000000000e+01
9.200000000000000000e+01,7.600000000000000000e+01,6.600000000000000000e+01
9.250000000000000000e+01,7.600000000000000000e+01,7.200000000000000000e+01
9.600000000000000000e+01,7.200000000000000000e+01,7.200000000000000000e+01
9.300000000000000000e+01,8.000000000000000000e+01,6.800000000000000000e+01
9.500000000000000000e+01,7.800000000000000000e+01,7.000000000000000000e+01
9.450000000000000000e+01,7.600000000000000000e+01,7.600000000000000000e+01
9.450000000000000000e+01,7.800000000000000000e+01,7.200000000000000000e+01
9.550000000000000000e+01,7.800000000000000000e+01,7.200000000000000000e+01
9.850000000000000000e+01,8.200000000000000000e+01,6.800000000000000000e+01
9.700000000000000000e+01,8.000000000000000000e+01,7.400000000000000000e+01
9.650000000000000000e+01,8.400000000000000000e+01,6.800000000000000000e+01
9.600000000000000000e+01,8.200000000000000000e+01,7.400000000000000000e+01
9.400000000000000000e+01,7.000000000000000000e+01,7.400000000000000000e+01
9.450000000000000000e+01,7.600000000000000000e+01,6.800000000000000000e+01
9.550000000000000000e+01,8.000000000000000000e+01,6.600000000000000000e+01
9.450000000000000000e+01,7.600000000000000000e+01,6.000000000000000000e+01
9.450000000000000000e+01,7.200000000000000000e+01,6.800000000000000000e+01
9.600000000000000000e+01,9.000000000000000000e+01,6.800000000000000000e+01
9.500000000000000000e+01,7.800000000000000000e+01,6.800000000000000000e+01
9.750000000000000000e+01,8.000000000000000000e+01,7.000000000000000000e+01
9.200000000000000000e+01,7.800000000000000000e+01,7.400000000000000000e+01
9.550000000000000000e+01,7.800000000000000000e+01,7.400000000000000000e+01
9.350000000000000000e+01,8.000000000000000000e+01,6.800000000000000000e+01
9.550000000000000000e+01,8.200000000000000000e+01,7.000000000000000000e+01
9.650000000000000000e+01,7.800000000000000000e+01,7.200000000000000000e+01
9.750000000000000000e+01,7.800000000000000000e+01,6.800000000000000000e+01
9.650000000000000000e+01,7.600000000000000000e+01,7.200000000000000000e+01
9.350000000000000000e+01,8.400000000000000000e+01,7.800000000000000000e+01
9.450000000000000000e+01,7.400000000000000000e+01,6.600000000000000000e+01
9.650000000000000000e+01,7.200000000000000000e+01,7.000000000000000000e+01
9.400000000000000000e+01,8.000000000000000000e+01,6.800000000000000000e+01
9.450000000000000000e+01,8.000000000000000000e+01,7.200000000000000000e+01
9.550000000000000000e+01,7.400000000000000000e+01,7.200000000000000000e+01
9.200000000000000000e+01,7.400000000000000000e+01,6.600000000000000000e+01
9.650000000000000000e+01,7.400000000000000000e+01,7.600000000000000000e+01
9.750000000000000000e+01,8.400000000000000000e+01,7.000000000000000000e+01
9.500000000000000000e+01,7.400000000000000000e+01,6.800000000000000000e+01
9.550000000000000000e+01,8.800000000000000000e+01,7.400000000000000000e+01
9.650000000000000000e+01,7.800000000000000000e+01,7.800000000000000000e+01
9.500000000000000000e+01,7.400000000000000000e+01,7.800000000000000000e+01
9.500000000000000000e+01,8.000000000000000000e+01,6.600000000000000000e+01
9.500000000000000000e+01,7.800000000000000000e+01,7.200000000000000000e+01
9.550000000000000000e+01,8.200000000000000000e+01,6.800000000000000000e+01
9.450000000000000000e+01,8.000000000000000000e+01,7.200000000000000000e+01
9.450000000000000000e+01,8.200000000000000000e+01,6.600000000000000000e+01
9.350000000000000000e+01,8.200000000000000000e+01,6.800000000000000000e+01
9.750000000000000000e+01,7.400000000000000000e+01,6.600000000000000000e+01
9.500000000000000000e+01,7.400000000000000000e+01,6.800000000000000000e+01
9.750000000000000000e+01,8.000000000000000000e+01,7.000000000000000000e+01
9.600000000000000000e+01,7.800000000000000000e+01,6.800000000000000000e+01
9.600000000000000000e+01,7.800000000000000000e+01,7.000000000000000000e+01
9.450000000000000000e+01,7.600000000000000000e+01,7.000000000000000000e+01
