valid,train,ood
0.5,0.5,0.5
0.56,0.59,0.5
0.54,0.595,0.54
0.68,0.7,0.6
0.6,0.665,0.52
0.72,0.68,0.58
0.56,0.715,0.54
0.64,0.67,0.54
0.54,0.735,0.54
0.66,0.8,0.62
0.7,0.655,0.64
0.6,0.805,0.54
0.64,0.785,0.64
0.68,0.805,0.52
0.58,0.765,0.46
0.6,0.76,0.58
0.62,0.77,0.6
0.6,0.785,0.56
0.68,0.765,0.56
0.66,0.775,0.66
0.64,0.725,0.62
0.64,0.8,0.5
0.68,0.79,0.6
0.68,0.77,0.52
0.62,0.84,0.62
0.7,0.755,0.6
0.6,0.755,0.6
0.68,0.76,0.52
0.7,0.78,0.52
0.66,0.805,0.6
0.64,0.85,0.56
0.68,0.79,0.6
0.62,0.85,0.66
0.74,0.805,0.56
0.66,0.87,0.64
0.58,0.815,0.58
0.64,0.86,0.52
0.7,0.85,0.6
0.76,0.845,0.56
0.66,0.87,0.58
0.66,0.835,0.56
0.74,0.85,0.58
0.74,0.855,0.56
0.68,0.855,0.56
0.7,0.895,0.56
0.7,0.9,0.58
0.76,0.875,0.58
0.74,0.905,0.54
0.72,0.87,0.5
0.62,0.92,0.6
0.76,0.905,0.58
