train,valid,ood
5.000000000000000000e+01,5.000000000000000000e+01,5.000000000000000000e+01
5.380000000000000426e+01,5.400000000000000000e+01,5.100000000000000000e+01
7.320000000000000284e+01,6.500000000000000000e+01,5.000000000000000000e+01
7.250000000000000000e+01,6.700000000000000000e+01,5.000000000000000000e+01
7.420000000000000284e+01,7.100000000000000000e+01,5.000000000000000000e+01
7.359999999999999432e+01,6.700000000000000000e+01,5.000000000000000000e+01
7.570000000000000284e+01,6.800000000000000000e+01,5.000000000000000000e+01
7.729999999999999716e+01,6.600000000000000000e+01,5.000000000000000000e+01
6.900000000000000000e+01,6.100000000000000000e+01,5.000000000000000000e+01
8.050000000000000000e+01,6.200000000000000000e+01,5.000000000000000000e+01
7.970000000000000284e+01,7.000000000000000000e+01,5.000000000000000000e+01
8.179999999999999716e+01,6.700000000000000000e+01,5.000000000000000000e+01
7.529999999999999716e+01,6.700000000000000000e+01,5.000000000000000000e+01
8.169999999999998863e+01,7.000000000000000000e+01,5.000000000000000000e+01
7.980000000000001137e+01,6.500000000000000000e+01,5.000000000000000000e+01
8.269999999999998863e+01,7.000000000000000000e+01,5.000000000000000000e+01
8.300000000000000000e+01,6.900000000000000000e+01,5.000000000000000000e+01
7.209999999999999432e+01,6.000000000000000000e+01,5.000000000000000000e+01
8.030000000000001137e+01,6.200000000000000000e+01,5.000000000000000000e+01
8.550000000000000000e+01,6.400000000000000000e+01,5.000000000000000000e+01
8.450000000000000000e+01,7.300000000000000000e+01,5.000000000000000000e+01
8.209999999999999432e+01,6.400000000000000000e+01,5.000000000000000000e+01
8.470000000000000284e+01,6.500000000000000000e+01,5.000000000000000000e+01
8.329999999999999716e+01,6.600000000000000000e+01,5.000000000000000000e+01
8.659999999999999432e+01,7.000000000000000000e+01,5.000000000000000000e+01
8.500000000000000000e+01,6.400000000000000000e+01,5.000000000000000000e+01
8.550000000000000000e+01,6.100000000000000000e+01,5.000000000000000000e+01
8.479999999999999716e+01,6.500000000000000000e+01,5.000000000000000000e+01
8.550000000000000000e+01,7.500000000000000000e+01,5.000000000000000000e+01
8.339999999999999147e+01,6.000000000000000000e+01,5.100000000000000000e+01
8.000000000000000000e+01,6.800000000000000000e+01,5.000000000000000000e+01
8.770000000000000284e+01,6.300000000000000000e+01,5.000000000000000000e+01
8.790000000000000568e+01,6.500000000000000000e+01,5.000000000000000000e+01
9.010000000000000853e+01,7.100000000000000000e+01,5.000000000000000000e+01
8.779999999999999716e+01,6.500000000000000000e+01,5.000000000000000000e+01
8.790000000000000568e+01,6.500000000000000000e+01,5.000000000000000000e+01
8.729999999999999716e+01,7.300000000000000000e+01,5.000000000000000000e+01
8.779999999999999716e+01,7.200000000000000000e+01,5.000000000000000000e+01
8.740000000000000568e+01,6.300000000000000000e+01,5.000000000000000000e+01
8.809999999999999432e+01,6.600000000000000000e+01,5.000000000000000000e+01
8.809999999999999432e+01,6.600000000000000000e+01,5.000000000000000000e+01
8.800000000000000000e+01,6.600000000000000000e+01,5.000000000000000000e+01
9.090000000000000568e+01,6.400000000000000000e+01,5.000000000000000000e+01
8.850000000000000000e+01,6.500000000000000000e+01,5.000000000000000000e+01
8.909999999999999432e+01,6.900000000000000000e+01,5.000000000000000000e+01
8.859999999999999432e+01,6.100000000000000000e+01,5.000000000000000000e+01
8.879999999999999716e+01,7.100000000000000000e+01,5.000000000000000000e+01
8.960000000000000853e+01,6.700000000000000000e+01,5.000000000000000000e+01
8.879999999999999716e+01,6.600000000000000000e+01,5.000000000000000000e+01
9.020000000000000284e+01,6.900000000000000000e+01,5.000000000000000000e+01
8.990000000000000568e+01,6.900000000000000000e+01,5.000000000000000000e+01
8.960000000000000853e+01,6.500000000000000000e+01,5.000000000000000000e+01
8.950000000000000000e+01,7.000000000000000000e+01,5.000000000000000000e+01
9.000000000000000000e+01,6.700000000000000000e+01,5.000000000000000000e+01
9.190000000000000568e+01,6.600000000000000000e+01,5.000000000000000000e+01
9.000000000000000000e+01,6.800000000000000000e+01,5.000000000000000000e+01
9.100000000000000000e+01,6.500000000000000000e+01,5.000000000000000000e+01
9.129999999999999716e+01,6.500000000000000000e+01,5.000000000000000000e+01
9.190000000000000568e+01,7.000000000000000000e+01,5.000000000000000000e+01
9.150000000000000000e+01,7.400000000000000000e+01,5.000000000000000000e+01
8.960000000000000853e+01,6.200000000000000000e+01,5.000000000000000000e+01
9.020000000000000284e+01,7.000000000000000000e+01,5.000000000000000000e+01
9.050000000000000000e+01,6.500000000000000000e+01,5.000000000000000000e+01
9.110000000000000853e+01,6.700000000000000000e+01,5.000000000000000000e+01
8.940000000000000568e+01,6.300000000000000000e+01,5.000000000000000000e+01
8.779999999999999716e+01,7.100000000000000000e+01,5.000000000000000000e+01
9.260000000000000853e+01,6.600000000000000000e+01,5.000000000000000000e+01
9.029999999999999716e+01,6.900000000000000000e+01,5.000000000000000000e+01
9.240000000000000568e+01,6.900000000000000000e+01,5.000000000000000000e+01
9.300000000000000000e+01,7.000000000000000000e+01,5.000000000000000000e+01
9.070000000000000284e+01,7.200000000000000000e+01,5.000000000000000000e+01
9.100000000000000000e+01,6.600000000000000000e+01,5.000000000000000000e+01
9.230000000000001137e+01,6.800000000000000000e+01,5.000000000000000000e+01
9.129999999999999716e+01,7.100000000000000000e+01,5.000000000000000000e+01
9.290000000000000568e+01,7.300000000000000000e+01,5.000000000000000000e+01
8.620000000000000284e+01,7.100000000000000000e+01,5.000000000000000000e+01
9.220000000000000284e+01,7.100000000000000000e+01,5.000000000000000000e+01
9.260000000000000853e+01,6.400000000000000000e+01,5.000000000000000000e+01
9.240000000000000568e+01,6.900000000000000000e+01,5.000000000000000000e+01
9.360000000000000853e+01,6.500000000000000000e+01,5.000000000000000000e+01
9.210000000000000853e+01,6.100000000000000000e+01,5.000000000000000000e+01
8.979999999999999716e+01,7.000000000000000000e+01,5.000000000000000000e+01
9.070000000000000284e+01,6.300000000000000000e+01,5.000000000000000000e+01
9.260000000000000853e+01,6.300000000000000000e+01,5.100000000000000000e+01
9.330000000000001137e+01,6.300000000000000000e+01,5.000000000000000000e+01
9.320000000000000284e+01,6.600000000000000000e+01,5.000000000000000000e+01
9.280000000000001137e+01,7.000000000000000000e+01,5.000000000000000000e+01
9.370000000000000284e+01,7.100000000000000000e+01,5.000000000000000000e+01
9.230000000000001137e+01,6.700000000000000000e+01,5.000000000000000000e+01
9.210000000000000853e+01,7.100000000000000000e+01,5.000000000000000000e+01
9.210000000000000853e+01,7.000000000000000000e+01,5.000000000000000000e+01
9.500000000000000000e+01,6.500000000000000000e+01,5.000000000000000000e+01
9.310000000000000853e+01,6.300000000000000000e+01,5.000000000000000000e+01
9.140000000000000568e+01,6.900000000000000000e+01,5.000000000000000000e+01
9.020000000000000284e+01,6.300000000000000000e+01,5.000000000000000000e+01
9.469999999999998863e+01,6.700000000000000000e+01,5.000000000000000000e+01
9.200000000000000000e+01,6.100000000000000000e+01,5.000000000000000000e+01
9.280000000000001137e+01,6.800000000000000000e+01,5.100000000000000000e+01
9.280000000000001137e+01,6.800000000000000000e+01,5.000000000000000000e+01
9.230000000000001137e+01,6.500000000000000000e+01,5.000000000000000000e+01
9.340000000000000568e+01,6.200000000000000000e+01,5.000000000000000000e+01
9.370000000000000284e+01,6.600000000000000000e+01,5.000000000000000000e+01
9.500000000000000000e+01,6.700000000000000000e+01,5.000000000000000000e+01
9.170000000000000284e+01,6.500000000000000000e+01,5.000000000000000000e+01
9.419999999999998863e+01,6.300000000000000000e+01,5.000000000000000000e+01
9.400000000000000000e+01,6.600000000000000000e+01,5.000000000000000000e+01
9.210000000000000853e+01,7.600000000000000000e+01,5.100000000000000000e+01
9.450000000000000000e+01,6.300000000000000000e+01,5.000000000000000000e+01
9.469999999999998863e+01,6.500000000000000000e+01,4.900000000000000000e+01
9.270000000000000284e+01,6.100000000000000000e+01,4.900000000000000000e+01
9.500000000000000000e+01,7.000000000000000000e+01,5.000000000000000000e+01
9.400000000000000000e+01,6.500000000000000000e+01,4.900000000000000000e+01
9.350000000000000000e+01,6.200000000000000000e+01,5.000000000000000000e+01
9.360000000000000853e+01,6.200000000000000000e+01,5.000000000000000000e+01
9.439999999999999147e+01,6.500000000000000000e+01,5.000000000000000000e+01
9.439999999999999147e+01,6.500000000000000000e+01,5.000000000000000000e+01
9.539999999999999147e+01,6.400000000000000000e+01,5.100000000000000000e+01
