valid,train,ood
0.54,0.541,0.5
0.68,0.753,0.74
0.73,0.755,0.74
0.75,0.768,0.69
0.77,0.779,0.77
0.82,0.784,0.8
0.79,0.794,0.84
0.82,0.792,0.84
0.79,0.8,0.86
0.79,0.805,0.91
0.82,0.821,0.94
0.8,0.814,0.92
0.83,0.818,0.9
0.84,0.83,0.92
0.85,0.818,0.91
0.82,0.836,0.92
0.81,0.822,0.94
0.84,0.821,0.94
0.82,0.834,0.89
0.8,0.839,0.89
0.84,0.843,0.86
0.8,0.84,0.9
0.84,0.843,0.88
0.82,0.837,0.89
0.83,0.84,0.88
0.81,0.839,0.87
0.81,0.849,0.77
0.81,0.848,0.84
0.79,0.858,0.83
0.77,0.86,0.8
0.81,0.847,0.83
0.84,0.855,0.86
0.79,0.858,0.8
0.8,0.861,0.85
0.8,0.868,0.79
0.77,0.848,0.78
0.79,0.853,0.8
0.82,0.861,0.83
0.79,0.865,0.85
0.83,0.876,0.84
0.82,0.866,0.8
0.78,0.869,0.84
0.78,0.881,0.8
0.85,0.874,0.82
0.82,0.878,0.82
0.79,0.877,0.83
0.8,0.881,0.83
0.82,0.876,0.86
0.8,0.881,0.8
0.83,0.881,0.84
0.8,0.889,0.87
