valid,train,ood
0.5,0.5,0.5
0.66,0.685,0.54
0.65,0.715,0.73
0.67,0.72,0.66
0.6,0.72,0.78
0.66,0.69,0.77
0.67,0.71,0.76
0.68,0.695,0.73
0.64,0.7,0.71
0.67,0.71,0.71
0.67,0.695,0.71
0.71,0.74,0.7
0.63,0.715,0.7
0.63,0.735,0.7
0.75,0.745,0.69
0.65,0.71,0.68
0.67,0.74,0.71
0.69,0.735,0.65
0.65,0.755,0.65
0.67,0.725,0.7
0.7,0.745,0.66
0.66,0.72,0.64
0.68,0.76,0.65
0.64,0.765,0.66
0.71,0.75,0.64
0.69,0.745,0.66
0.68,0.775,0.72
0.69,0.785,0.69
0.76,0.805,0.68
0.64,0.79,0.69
0.65,0.75,0.66
0.7,0.78,0.75
0.67,0.77,0.81
0.64,0.79,0.71
0.72,0.8,0.71
0.71,0.785,0.76
0.67,0.795,0.71
0.68,0.805,0.7
0.68,0.79,0.75
0.73,0.85,0.72
0.67,0.815,0.77
0.75,0.835,0.75
0.67,0.84,0.82
0.7,0.81,0.78
0.7,0.825,0.84
0.7,0.85,0.83
0.68,0.835,0.82
0.72,0.845,0.85
0.74,0.885,0.83
0.67,0.835,0.82
0.72,0.86,0.82
