train,valid,ood
5.000000000000000000e+01,5.000000000000000000e+01,5.000000000000000000e+01
5.360000000000000142e+01,5.699999999999999289e+01,5.500000000000000711e+01
6.989999999999999147e+01,7.400000000000000000e+01,7.200000000000000000e+01
7.229999999999999716e+01,8.000000000000000000e+01,7.400000000000000000e+01
7.029999999999999716e+01,7.500000000000000000e+01,7.200000000000000000e+01
7.640000000000000568e+01,7.500000000000000000e+01,7.400000000000000000e+01
7.379999999999999716e+01,7.800000000000000000e+01,7.100000000000000000e+01
6.550000000000000000e+01,6.700000000000000000e+01,6.500000000000000000e+01
7.359999999999999432e+01,7.900000000000000000e+01,8.300000000000000000e+01
7.670000000000000284e+01,7.500000000000000000e+01,7.300000000000000000e+01
7.509999999999999432e+01,8.000000000000000000e+01,7.400000000000000000e+01
7.750000000000000000e+01,7.700000000000000000e+01,8.200000000000000000e+01
7.659999999999999432e+01,8.100000000000000000e+01,8.100000000000000000e+01
7.720000000000000284e+01,7.800000000000000000e+01,8.000000000000000000e+01
7.640000000000000568e+01,7.300000000000000000e+01,8.200000000000000000e+01
7.540000000000000568e+01,7.800000000000000000e+01,7.800000000000000000e+01
7.750000000000000000e+01,8.400000000000000000e+01,8.000000000000000000e+01
7.750000000000000000e+01,7.600000000000000000e+01,8.200000000000000000e+01
7.810000000000000853e+01,7.600000000000000000e+01,7.900000000000000000e+01
7.810000000000000853e+01,8.000000000000000000e+01,8.000000000000000000e+01
7.810000000000000853e+01,7.800000000000000000e+01,8.300000000000000000e+01
7.750000000000000000e+01,7.900000000000000000e+01,8.100000000000000000e+01
7.720000000000000284e+01,7.700000000000000000e+01,8.300000000000000000e+01
7.810000000000000853e+01,7.900000000000000000e+01,8.200000000000000000e+01
7.790000000000000568e+01,7.800000000000000000e+01,8.500000000000000000e+01
7.710000000000000853e+01,7.500000000000000000e+01,8.400000000000000000e+01
8.020000000000000284e+01,8.300000000000000000e+01,8.100000000000000000e+01
7.670000000000000284e+01,8.100000000000000000e+01,8.300000000000000000e+01
7.579999999999999716e+01,8.000000000000000000e+01,8.100000000000000000e+01
7.490000000000000568e+01,7.300000000000000000e+01,7.500000000000000000e+01
7.810000000000000853e+01,8.200000000000000000e+01,8.300000000000000000e+01
7.870000000000000284e+01,8.200000000000000000e+01,8.000000000000000000e+01
7.910000000000000853e+01,8.300000000000000000e+01,8.300000000000000000e+01
7.820000000000000284e+01,7.900000000000000000e+01,8.600000000000000000e+01
8.150000000000000000e+01,8.000000000000000000e+01,8.200000000000000000e+01
7.980000000000001137e+01,7.800000000000000000e+01,8.500000000000000000e+01
8.010000000000000853e+01,7.900000000000000000e+01,7.700000000000000000e+01
8.040000000000000568e+01,8.300000000000000000e+01,7.900000000000000000e+01
8.030000000000001137e+01,7.700000000000000000e+01,8.200000000000000000e+01
7.850000000000000000e+01,7.800000000000000000e+01,8.300000000000000000e+01
8.150000000000000000e+01,7.900000000000000000e+01,8.200000000000000000e+01
8.050000000000000000e+01,7.500000000000000000e+01,8.000000000000000000e+01
7.840000000000000568e+01,7.800000000000000000e+01,8.400000000000000000e+01
8.070000000000000284e+01,8.000000000000000000e+01,8.500000000000000000e+01
8.070000000000000284e+01,7.500000000000000000e+01,8.500000000000000000e+01
8.080000000000001137e+01,7.700000000000000000e+01,8.100000000000000000e+01
8.000000000000000000e+01,7.900000000000000000e+01,8.000000000000000000e+01
8.169999999999998863e+01,8.100000000000000000e+01,8.000000000000000000e+01
8.020000000000000284e+01,7.800000000000000000e+01,8.300000000000000000e+01
7.980000000000001137e+01,7.900000000000000000e+01,7.600000000000000000e+01
7.940000000000000568e+01,8.100000000000000000e+01,8.200000000000000000e+01
8.120000000000000284e+01,8.000000000000000000e+01,7.900000000000000000e+01
7.950000000000000000e+01,7.500000000000000000e+01,8.600000000000000000e+01
8.000000000000000000e+01,7.800000000000000000e+01,8.200000000000000000e+01
8.030000000000001137e+01,8.100000000000000000e+01,8.000000000000000000e+01
7.990000000000000568e+01,8.500000000000000000e+01,8.700000000000000000e+01
7.990000000000000568e+01,7.900000000000000000e+01,8.500000000000000000e+01
