valid,train,ood
0.74,0.777,0.5
0.9,0.948,0.51
0.91,0.944,0.5
0.89,0.948,0.51
0.9,0.95,0.5
0.9,0.94,0.5
0.9,0.948,0.5
0.9,0.951,0.51
0.9,0.949,0.51
0.9,0.945,0.51
0.89,0.951,0.51
0.9,0.943,0.5
0.9,0.947,0.51
0.9,0.952,0.51
0.9,0.947,0.51
0.91,0.95,0.51
0.89,0.95,0.51
0.9,0.946,0.5
0.91,0.949,0.51
0.9,0.948,0.5
0.9,0.945,0.5
0.9,0.946,0.51
0.9,0.948,0.5
0.9,0.947,0.5
0.91,0.949,0.5
0.9,0.946,0.5
0.9,0.946,0.5
0.9,0.947,0.5
0.9,0.947,0.5
0.9,0.951,0.5
0.89,0.951,0.5
0.9,0.955,0.5
0.89,0.956,0.5
0.91,0.955,0.5
0.89,0.951,0.5
0.87,0.954,0.5
0.88,0.955,0.5
0.91,0.956,0.5
0.9,0.955,0.5
0.9,0.958,0.5
0.92,0.957,0.5
0.89,0.96,0.5
0.9,0.96,0.5
0.91,0.961,0.5
0.87,0.959,0.5
0.88,0.958,0.5
0.89,0.96,0.5
0.9,0.96,0.5
0.9,0.961,0.5
0.9,0.961,0.5
0.89,0.959,0.5
